['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_30sec.pcap,11566713,913,30,256,27.00486922264099
0,bbb_30sec.pcap,11566713,913,30,256,26.838936805725098
0,bbb_30sec.pcap,11566713,913,30,256,27.011489868164062
0,bbb_30sec.pcap,11566713,913,30,256,26.98118305206299
0,bbb_30sec.pcap,11566713,913,30,256,27.034809827804565
0,bbb_30sec.pcap,11566713,913,30,256,26.935976028442383
0,bbb_30sec.pcap,11566713,913,30,256,27.018311023712158
0,bbb_30sec.pcap,11566713,913,30,256,28.011195182800293
0,bbb_30sec.pcap,11566713,913,30,256,27.991580963134766
0,bbb_30sec.pcap,11566713,913,30,256,27.27463388442993
