['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_30sec.pcap,11566713,913,30,1024,7.125452041625977
0,bbb_30sec.pcap,11566713,913,30,1024,7.117153167724609
0,bbb_30sec.pcap,11566713,913,30,1024,7.122720003128052
0,bbb_30sec.pcap,11566713,913,30,1024,6.8585100173950195
0,bbb_30sec.pcap,11566713,913,30,1024,6.875389099121094
0,bbb_30sec.pcap,11566713,913,30,1024,7.116767883300781
0,bbb_30sec.pcap,11566713,913,30,1024,7.100237131118774
0,bbb_30sec.pcap,11566713,913,30,1024,7.102912902832031
0,bbb_30sec.pcap,11566713,913,30,1024,7.026538133621216
0,bbb_30sec.pcap,11566713,913,30,1024,7.012351036071777
