['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_60sec.pcap,24812543,1821,60,128,114.64529299736023
0,bbb_60sec.pcap,24812543,1821,60,128,113.86153221130371
0,bbb_60sec.pcap,24812543,1821,60,128,113.34296894073486
0,bbb_60sec.pcap,24812543,1821,60,128,113.54973816871643
0,bbb_60sec.pcap,24812543,1821,60,128,113.36229705810547
0,bbb_60sec.pcap,24812543,1821,60,128,120.8799397945404
0,bbb_60sec.pcap,24812543,1821,60,128,113.91932487487793
0,bbb_60sec.pcap,24812543,1821,60,128,113.45681691169739
0,bbb_60sec.pcap,24812543,1821,60,128,113.79213881492615
0,bbb_60sec.pcap,24812543,1821,60,128,113.32152605056763
