['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_10sec.pcap,2270493,305,10,512,2.7961249351501465
0,bbb_10sec.pcap,2270493,305,10,512,2.800201892852783
0,bbb_10sec.pcap,2270493,305,10,512,2.802889823913574
0,bbb_10sec.pcap,2270493,305,10,512,2.7850780487060547
0,bbb_10sec.pcap,2270493,305,10,512,2.8118033409118652
0,bbb_10sec.pcap,2270493,305,10,512,2.84635591506958
0,bbb_10sec.pcap,2270493,305,10,512,2.8327629566192627
0,bbb_10sec.pcap,2270493,305,10,512,2.8084280490875244
0,bbb_10sec.pcap,2270493,305,10,512,2.7901432514190674
0,bbb_10sec.pcap,2270493,305,10,512,2.774841785430908
