['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_60sec.pcap,24812543,1821,60,1024,15.174931049346924
0,bbb_60sec.pcap,24812543,1821,60,1024,15.44947624206543
0,bbb_60sec.pcap,24812543,1821,60,1024,17.084383010864258
0,bbb_60sec.pcap,24812543,1821,60,1024,16.697060108184814
0,bbb_60sec.pcap,24812543,1821,60,1024,15.264216184616089
0,bbb_60sec.pcap,24812543,1821,60,1024,15.854182958602905
0,bbb_60sec.pcap,24812543,1821,60,1024,16.857160091400146
0,bbb_60sec.pcap,24812543,1821,60,1024,16.769691944122314
0,bbb_60sec.pcap,24812543,1821,60,1024,15.058021306991577
0,bbb_60sec.pcap,24812543,1821,60,1024,14.955363035202026
