['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_20sec.pcap,8498053,609,20,256,19.66785192489624
0,bbb_20sec.pcap,8498053,609,20,256,19.5770001411438
0,bbb_20sec.pcap,8498053,609,20,256,19.661647081375122
0,bbb_20sec.pcap,8498053,609,20,256,19.958577871322632
0,bbb_20sec.pcap,8498053,609,20,256,19.65500783920288
0,bbb_20sec.pcap,8498053,609,20,256,19.649367094039917
0,bbb_20sec.pcap,8498053,609,20,256,19.675945043563843
0,bbb_20sec.pcap,8498053,609,20,256,19.68172597885132
0,bbb_20sec.pcap,8498053,609,20,256,19.699646949768066
0,bbb_20sec.pcap,8498053,609,20,256,19.577678680419922
