['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_30sec.pcap,11566713,913,30,512,13.734092712402344
0,bbb_30sec.pcap,11566713,913,30,512,13.742402076721191
0,bbb_30sec.pcap,11566713,913,30,512,13.688111066818237
0,bbb_30sec.pcap,11566713,913,30,512,13.773731231689453
0,bbb_30sec.pcap,11566713,913,30,512,13.748063087463379
0,bbb_30sec.pcap,11566713,913,30,512,13.707163095474243
0,bbb_30sec.pcap,11566713,913,30,512,13.725239038467407
0,bbb_30sec.pcap,11566713,913,30,512,13.860481023788452
0,bbb_30sec.pcap,11566713,913,30,512,13.725248098373413
0,bbb_30sec.pcap,11566713,913,30,512,13.758896112442017
