['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_10sec.pcap,2270493,305,10,256,5.55781102180481
0,bbb_10sec.pcap,2270493,305,10,256,5.5265889167785645
0,bbb_10sec.pcap,2270493,305,10,256,5.499669075012207
0,bbb_10sec.pcap,2270493,305,10,256,5.553256034851074
0,bbb_10sec.pcap,2270493,305,10,256,5.519101142883301
0,bbb_10sec.pcap,2270493,305,10,256,5.533638000488281
0,bbb_10sec.pcap,2270493,305,10,256,5.565375089645386
0,bbb_10sec.pcap,2270493,305,10,256,5.527307987213135
0,bbb_10sec.pcap,2270493,305,10,256,5.551357984542847
0,bbb_10sec.pcap,2270493,305,10,256,5.527688026428223
