['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_20sec.pcap,8498053,609,20,1024,5.157705068588257
0,bbb_20sec.pcap,8498053,609,20,1024,5.157070875167847
0,bbb_20sec.pcap,8498053,609,20,1024,5.144414901733398
0,bbb_20sec.pcap,8498053,609,20,1024,5.001464128494263
0,bbb_20sec.pcap,8498053,609,20,1024,5.12711501121521
0,bbb_20sec.pcap,8498053,609,20,1024,5.156826734542847
0,bbb_20sec.pcap,8498053,609,20,1024,5.146938800811768
0,bbb_20sec.pcap,8498053,609,20,1024,5.125706911087036
0,bbb_20sec.pcap,8498053,609,20,1024,5.160979747772217
0,bbb_20sec.pcap,8498053,609,20,1024,5.148423910140991
