['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_5sec.pcap,300703,155,5,128,1.7722580432891846
0,bbb_5sec.pcap,300703,155,5,128,1.7808921337127686
0,bbb_5sec.pcap,300703,155,5,128,1.7642710208892822
0,bbb_5sec.pcap,300703,155,5,128,1.726073980331421
0,bbb_5sec.pcap,300703,155,5,128,1.7334070205688477
0,bbb_5sec.pcap,300703,155,5,128,1.7094120979309082
0,bbb_5sec.pcap,300703,155,5,128,1.6720361709594727
0,bbb_5sec.pcap,300703,155,5,128,1.515484094619751
0,bbb_5sec.pcap,300703,155,5,128,1.5181589126586914
0,bbb_5sec.pcap,300703,155,5,128,1.6661419868469238
