['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'detection_time', 'num_rtp_packets']
0,bbb_40sec.pcap,18164325,1217,40,8.998075008392334,12136
0,bbb_40sec.pcap,18164325,1217,40,8.54493498802185,12136
0,bbb_40sec.pcap,18164325,1217,40,8.614421129226685,12136
0,bbb_40sec.pcap,18164325,1217,40,8.789725065231323,12136
0,bbb_40sec.pcap,18164325,1217,40,8.881151914596558,12136
0,bbb_40sec.pcap,18164325,1217,40,9.313328981399536,12136
0,bbb_40sec.pcap,18164325,1217,40,8.86986517906189,12136
0,bbb_40sec.pcap,18164325,1217,40,8.662569284439087,12136
0,bbb_40sec.pcap,18164325,1217,40,9.284916877746582,12136
0,bbb_40sec.pcap,18164325,1217,40,9.138433933258057,12136
0,bbb_40sec.pcap,18164325,1217,40,9.21945595741272,12136
0,bbb_40sec.pcap,18164325,1217,40,9.22912883758545,12136
0,bbb_40sec.pcap,18164325,1217,40,9.314236164093018,12136
0,bbb_40sec.pcap,18164325,1217,40,8.601831197738647,12136
0,bbb_40sec.pcap,18164325,1217,40,9.102589845657349,12136
0,bbb_40sec.pcap,18164325,1217,40,9.231024980545044,12136
0,bbb_40sec.pcap,18164325,1217,40,8.803872108459473,12136
0,bbb_40sec.pcap,18164325,1217,40,9.171332120895386,12136
0,bbb_40sec.pcap,18164325,1217,40,9.078195095062256,12136
0,bbb_40sec.pcap,18164325,1217,40,8.842690229415894,12136
0,bbb_40sec.pcap,18164325,1217,40,8.357051134109497,12136
0,bbb_40sec.pcap,18164325,1217,40,8.15056300163269,12136
0,bbb_40sec.pcap,18164325,1217,40,8.15903615951538,12136
0,bbb_40sec.pcap,18164325,1217,40,7.983760833740234,12136
0,bbb_40sec.pcap,18164325,1217,40,8.172652006149292,12136
0,bbb_40sec.pcap,18164325,1217,40,8.152624130249023,12136
0,bbb_40sec.pcap,18164325,1217,40,8.078608989715576,12136
0,bbb_40sec.pcap,18164325,1217,40,8.05946397781372,12136
0,bbb_40sec.pcap,18164325,1217,40,8.055320978164673,12136
0,bbb_40sec.pcap,18164325,1217,40,8.109216928482056,12136
0,bbb_40sec.pcap,18164325,1217,40,8.166598796844482,12136
0,bbb_40sec.pcap,18164325,1217,40,8.077582836151123,12136
0,bbb_40sec.pcap,18164325,1217,40,8.020491123199463,12136
0,bbb_40sec.pcap,18164325,1217,40,8.131479024887085,12136
0,bbb_40sec.pcap,18164325,1217,40,8.10114598274231,12136
0,bbb_40sec.pcap,18164325,1217,40,8.166182041168213,12136
0,bbb_40sec.pcap,18164325,1217,40,8.137216091156006,12136
0,bbb_40sec.pcap,18164325,1217,40,8.12841796875,12136
0,bbb_40sec.pcap,18164325,1217,40,8.02560305595398,12136
0,bbb_40sec.pcap,18164325,1217,40,8.644342184066772,12136
0,bbb_40sec.pcap,18164325,1217,40,8.5299551486969,12136
0,bbb_40sec.pcap,18164325,1217,40,8.26082181930542,12136
0,bbb_40sec.pcap,18164325,1217,40,8.916649103164673,12136
0,bbb_40sec.pcap,18164325,1217,40,8.411370992660522,12136
0,bbb_40sec.pcap,18164325,1217,40,8.466338157653809,12136
0,bbb_40sec.pcap,18164325,1217,40,9.291545152664185,12136
0,bbb_40sec.pcap,18164325,1217,40,9.132071018218994,12136
0,bbb_40sec.pcap,18164325,1217,40,9.00814700126648,12136
0,bbb_40sec.pcap,18164325,1217,40,8.536083936691284,12136
0,bbb_40sec.pcap,18164325,1217,40,9.176408052444458,12136
