['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'detection_time']
0,bbb_20sec.pcap,8498053,609,20,4.014157056808472
0,bbb_20sec.pcap,8498053,609,20,4.289647102355957
0,bbb_20sec.pcap,8498053,609,20,4.422941207885742
0,bbb_20sec.pcap,8498053,609,20,4.2130889892578125
0,bbb_20sec.pcap,8498053,609,20,3.9519400596618652
0,bbb_20sec.pcap,8498053,609,20,4.404334783554077
0,bbb_20sec.pcap,8498053,609,20,4.405796766281128
0,bbb_20sec.pcap,8498053,609,20,4.489329099655151
0,bbb_20sec.pcap,8498053,609,20,4.0507330894470215
0,bbb_20sec.pcap,8498053,609,20,4.044331073760986
0,bbb_20sec.pcap,8498053,609,20,3.8903727531433105
0,bbb_20sec.pcap,8498053,609,20,3.9765193462371826
0,bbb_20sec.pcap,8498053,609,20,4.2529308795928955
0,bbb_20sec.pcap,8498053,609,20,4.04467511177063
0,bbb_20sec.pcap,8498053,609,20,3.999297618865967
0,bbb_20sec.pcap,8498053,609,20,4.210762023925781
0,bbb_20sec.pcap,8498053,609,20,4.351269006729126
0,bbb_20sec.pcap,8498053,609,20,4.062276124954224
0,bbb_20sec.pcap,8498053,609,20,4.150465965270996
0,bbb_20sec.pcap,8498053,609,20,4.132411003112793
0,bbb_20sec.pcap,8498053,609,20,4.2636559009552
0,bbb_20sec.pcap,8498053,609,20,4.247099876403809
0,bbb_20sec.pcap,8498053,609,20,4.2939839363098145
0,bbb_20sec.pcap,8498053,609,20,4.344578981399536
0,bbb_20sec.pcap,8498053,609,20,4.3205907344818115
0,bbb_20sec.pcap,8498053,609,20,4.067392110824585
0,bbb_20sec.pcap,8498053,609,20,3.8733880519866943
0,bbb_20sec.pcap,8498053,609,20,4.237281799316406
0,bbb_20sec.pcap,8498053,609,20,4.129020929336548
0,bbb_20sec.pcap,8498053,609,20,4.292875051498413
0,bbb_20sec.pcap,8498053,609,20,4.058932065963745
0,bbb_20sec.pcap,8498053,609,20,3.970928192138672
0,bbb_20sec.pcap,8498053,609,20,4.333554983139038
0,bbb_20sec.pcap,8498053,609,20,4.405433177947998
0,bbb_20sec.pcap,8498053,609,20,4.011035919189453
0,bbb_20sec.pcap,8498053,609,20,4.33037805557251
0,bbb_20sec.pcap,8498053,609,20,4.0932347774505615
0,bbb_20sec.pcap,8498053,609,20,4.132561922073364
0,bbb_20sec.pcap,8498053,609,20,4.098006010055542
0,bbb_20sec.pcap,8498053,609,20,4.112797260284424
0,bbb_20sec.pcap,8498053,609,20,4.071933031082153
0,bbb_20sec.pcap,8498053,609,20,4.062472820281982
0,bbb_20sec.pcap,8498053,609,20,4.253262042999268
0,bbb_20sec.pcap,8498053,609,20,4.088468074798584
0,bbb_20sec.pcap,8498053,609,20,4.146376132965088
0,bbb_20sec.pcap,8498053,609,20,4.3571319580078125
0,bbb_20sec.pcap,8498053,609,20,4.288151025772095
0,bbb_20sec.pcap,8498053,609,20,3.89355206489563
0,bbb_20sec.pcap,8498053,609,20,4.082706928253174
0,bbb_20sec.pcap,8498053,609,20,3.8797378540039062
