['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'detection_time', 'num_rtp_packets']
0,bbb_5sec.pcap,300703,155,5,0.19702887535095215,305
0,bbb_5sec.pcap,300703,155,5,0.20219802856445312,305
0,bbb_5sec.pcap,300703,155,5,0.1903069019317627,305
0,bbb_5sec.pcap,300703,155,5,0.24384474754333496,305
0,bbb_5sec.pcap,300703,155,5,0.20532774925231934,305
0,bbb_5sec.pcap,300703,155,5,0.21105289459228516,305
0,bbb_5sec.pcap,300703,155,5,0.21536588668823242,305
0,bbb_5sec.pcap,300703,155,5,0.25406384468078613,305
0,bbb_5sec.pcap,300703,155,5,0.2115950584411621,305
0,bbb_5sec.pcap,300703,155,5,0.2109072208404541,305
0,bbb_5sec.pcap,300703,155,5,0.21577095985412598,305
0,bbb_5sec.pcap,300703,155,5,0.2579059600830078,305
0,bbb_5sec.pcap,300703,155,5,0.20081496238708496,305
0,bbb_5sec.pcap,300703,155,5,0.19773006439208984,305
0,bbb_5sec.pcap,300703,155,5,0.19635295867919922,305
0,bbb_5sec.pcap,300703,155,5,0.2656209468841553,305
0,bbb_5sec.pcap,300703,155,5,0.2110729217529297,305
0,bbb_5sec.pcap,300703,155,5,0.2186441421508789,305
0,bbb_5sec.pcap,300703,155,5,0.19780206680297852,305
0,bbb_5sec.pcap,300703,155,5,0.24404406547546387,305
0,bbb_5sec.pcap,300703,155,5,0.20418906211853027,305
0,bbb_5sec.pcap,300703,155,5,0.21347665786743164,305
0,bbb_5sec.pcap,300703,155,5,0.20681023597717285,305
0,bbb_5sec.pcap,300703,155,5,0.26824402809143066,305
0,bbb_5sec.pcap,300703,155,5,0.20653319358825684,305
0,bbb_5sec.pcap,300703,155,5,0.21530604362487793,305
0,bbb_5sec.pcap,300703,155,5,0.2123110294342041,305
0,bbb_5sec.pcap,300703,155,5,0.2482280731201172,305
0,bbb_5sec.pcap,300703,155,5,0.20079588890075684,305
0,bbb_5sec.pcap,300703,155,5,0.20952296257019043,305
0,bbb_5sec.pcap,300703,155,5,0.1945359706878662,305
0,bbb_5sec.pcap,300703,155,5,0.26081299781799316,305
0,bbb_5sec.pcap,300703,155,5,0.20633387565612793,305
0,bbb_5sec.pcap,300703,155,5,0.20504498481750488,305
0,bbb_5sec.pcap,300703,155,5,0.22517085075378418,305
0,bbb_5sec.pcap,300703,155,5,0.25384092330932617,305
0,bbb_5sec.pcap,300703,155,5,0.2074129581451416,305
0,bbb_5sec.pcap,300703,155,5,0.21442317962646484,305
0,bbb_5sec.pcap,300703,155,5,0.20810508728027344,305
0,bbb_5sec.pcap,300703,155,5,0.2569248676300049,305
0,bbb_5sec.pcap,300703,155,5,0.2178807258605957,305
0,bbb_5sec.pcap,300703,155,5,0.21457695960998535,305
0,bbb_5sec.pcap,300703,155,5,0.20821022987365723,305
0,bbb_5sec.pcap,300703,155,5,0.24408602714538574,305
0,bbb_5sec.pcap,300703,155,5,0.20405197143554688,305
0,bbb_5sec.pcap,300703,155,5,0.19844484329223633,305
0,bbb_5sec.pcap,300703,155,5,0.21437883377075195,305
0,bbb_5sec.pcap,300703,155,5,0.24130010604858398,305
0,bbb_5sec.pcap,300703,155,5,0.21196413040161133,305
0,bbb_5sec.pcap,300703,155,5,0.19708895683288574,305
