['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'detection_time']
0,bbb_50sec.pcap,20990087,1519,50,11.30849003791809
0,bbb_50sec.pcap,20990087,1519,50,11.30000901222229
0,bbb_50sec.pcap,20990087,1519,50,11.288678884506226
0,bbb_50sec.pcap,20990087,1519,50,11.310908079147339
0,bbb_50sec.pcap,20990087,1519,50,11.29116702079773
0,bbb_50sec.pcap,20990087,1519,50,11.33903694152832
0,bbb_50sec.pcap,20990087,1519,50,11.360574960708618
0,bbb_50sec.pcap,20990087,1519,50,11.312982082366943
0,bbb_50sec.pcap,20990087,1519,50,11.306132078170776
0,bbb_50sec.pcap,20990087,1519,50,11.293084859848022
0,bbb_50sec.pcap,20990087,1519,50,11.368792057037354
0,bbb_50sec.pcap,20990087,1519,50,11.305477142333984
0,bbb_50sec.pcap,20990087,1519,50,11.600098848342896
0,bbb_50sec.pcap,20990087,1519,50,11.313683986663818
0,bbb_50sec.pcap,20990087,1519,50,11.331625938415527
0,bbb_50sec.pcap,20990087,1519,50,11.605464935302734
0,bbb_50sec.pcap,20990087,1519,50,11.378732919692993
0,bbb_50sec.pcap,20990087,1519,50,11.338060855865479
0,bbb_50sec.pcap,20990087,1519,50,11.323701858520508
0,bbb_50sec.pcap,20990087,1519,50,11.319529056549072
0,bbb_50sec.pcap,20990087,1519,50,11.306368827819824
0,bbb_50sec.pcap,20990087,1519,50,11.422752141952515
0,bbb_50sec.pcap,20990087,1519,50,11.326697826385498
0,bbb_50sec.pcap,20990087,1519,50,11.326328039169312
0,bbb_50sec.pcap,20990087,1519,50,11.932270765304565
0,bbb_50sec.pcap,20990087,1519,50,12.802783250808716
0,bbb_50sec.pcap,20990087,1519,50,12.73132586479187
0,bbb_50sec.pcap,20990087,1519,50,12.736768007278442
0,bbb_50sec.pcap,20990087,1519,50,11.983740091323853
0,bbb_50sec.pcap,20990087,1519,50,11.837294101715088
0,bbb_50sec.pcap,20990087,1519,50,11.491883993148804
0,bbb_50sec.pcap,20990087,1519,50,11.443001985549927
0,bbb_50sec.pcap,20990087,1519,50,11.521409034729004
0,bbb_50sec.pcap,20990087,1519,50,11.447054147720337
0,bbb_50sec.pcap,20990087,1519,50,11.435884952545166
0,bbb_50sec.pcap,20990087,1519,50,11.499348878860474
0,bbb_50sec.pcap,20990087,1519,50,11.477595090866089
0,bbb_50sec.pcap,20990087,1519,50,11.47241497039795
0,bbb_50sec.pcap,20990087,1519,50,11.445551872253418
0,bbb_50sec.pcap,20990087,1519,50,11.453843116760254
0,bbb_50sec.pcap,20990087,1519,50,11.463508129119873
0,bbb_50sec.pcap,20990087,1519,50,11.471855163574219
0,bbb_50sec.pcap,20990087,1519,50,11.458396911621094
0,bbb_50sec.pcap,20990087,1519,50,11.423712968826294
0,bbb_50sec.pcap,20990087,1519,50,11.444031000137329
0,bbb_50sec.pcap,20990087,1519,50,11.48195195198059
0,bbb_50sec.pcap,20990087,1519,50,11.478886842727661
0,bbb_50sec.pcap,20990087,1519,50,11.437870025634766
0,bbb_50sec.pcap,20990087,1519,50,11.49649715423584
0,bbb_50sec.pcap,20990087,1519,50,11.456940174102783
