['pcap_file', 'mp4_filesize', 'num_nalus', 'video_len_sec', 'payload_size', 'detection_time']
0,bbb_40sec.pcap,18164325,1217,40,512,20.99862313270569
0,bbb_40sec.pcap,18164325,1217,40,512,21.12328314781189
0,bbb_40sec.pcap,18164325,1217,40,512,21.144526958465576
0,bbb_40sec.pcap,18164325,1217,40,512,20.981376886367798
0,bbb_40sec.pcap,18164325,1217,40,512,21.04422926902771
0,bbb_40sec.pcap,18164325,1217,40,512,21.140867948532104
0,bbb_40sec.pcap,18164325,1217,40,512,21.16194200515747
0,bbb_40sec.pcap,18164325,1217,40,512,21.08820605278015
0,bbb_40sec.pcap,18164325,1217,40,512,21.004687070846558
0,bbb_40sec.pcap,18164325,1217,40,512,21.072070837020874
