comparison of the two following files
reference video: ../case_1_ref_video.mp4
video to be compared to reference: packet_loss_simulation_256_5video.mp4
mse_avg: 3891.20342887
nrsme_avg: 0.297606675543
psnr_avg: 19.4521760843
ssim_avg: 0.710547214526
last frame which could be compared: 600
['frame_num', 'MSE', 'NRSME', 'PSNR', 'SSIM']
0,0.0,0.0,0.0,50.0,1.0
0,1.0,0.0,0.0,50.0,1.0
0,2.0,0.0,0.0,50.0,1.0
0,3.0,0.0,0.0,50.0,1.0
0,4.0,0.0,0.0,50.0,1.0
0,5.0,0.0,0.0,50.0,1.0
0,6.0,0.0,0.0,50.0,1.0
0,7.0,0.0,0.0,50.0,1.0
0,8.0,0.0,0.0,50.0,1.0
0,9.0,0.0,0.0,50.0,1.0
0,10.0,0.0,0.0,50.0,1.0
0,11.0,0.0,0.0,50.0,1.0
0,12.0,0.0,0.0,50.0,1.0
0,13.0,0.0,0.0,50.0,1.0
0,14.0,0.0,0.0,50.0,1.0
0,15.0,0.0,0.0,50.0,1.0
0,16.0,0.0,0.0,50.0,1.0
0,17.0,0.0,0.0,50.0,1.0
0,18.0,0.0,0.0,50.0,1.0
0,19.0,0.0,0.0,50.0,1.0
0,20.0,0.0,0.0,50.0,1.0
0,21.0,0.0,0.0,50.0,1.0
0,22.0,0.0,0.0,50.0,1.0
0,23.0,0.0,0.0,50.0,1.0
0,24.0,0.0,0.0,50.0,1.0
0,25.0,0.0,0.0,50.0,1.0
0,26.0,0.0,0.0,50.0,1.0
0,27.0,0.0,0.0,50.0,1.0
0,28.0,0.0,0.0,50.0,1.0
0,29.0,0.0,0.0,50.0,1.0
0,30.0,0.0,0.0,50.0,1.0
0,31.0,0.0,0.0,50.0,1.0
0,32.0,0.0,0.0,50.0,1.0
0,33.0,0.0,0.0,50.0,1.0
0,34.0,0.0,0.0,50.0,1.0
0,35.0,0.0,0.0,50.0,1.0
0,36.0,0.0,0.0,50.0,1.0
0,37.0,0.0,0.0,50.0,1.0
0,38.0,0.0,0.0,50.0,1.0
0,39.0,0.0,0.0,50.0,1.0
0,40.0,0.0,0.0,50.0,1.0
0,41.0,0.0,0.0,50.0,1.0
0,42.0,0.0,0.0,50.0,1.0
0,43.0,0.0,0.0,50.0,1.0
0,44.0,0.0,0.0,50.0,1.0
0,45.0,0.0,0.0,50.0,1.0
0,46.0,0.0,0.0,50.0,1.0
0,47.0,0.0,0.0,50.0,1.0
0,48.0,0.0,0.0,50.0,1.0
0,49.0,0.0,0.0,50.0,1.0
0,50.0,0.0,0.0,50.0,1.0
0,51.0,0.0,0.0,50.0,1.0
0,52.0,0.0,0.0,50.0,1.0
0,53.0,0.0,0.0,50.0,1.0
0,54.0,0.0,0.0,50.0,1.0
0,55.0,0.0,0.0,50.0,1.0
0,56.0,0.0,0.0,50.0,1.0
0,57.0,0.0,0.0,50.0,1.0
0,58.0,0.0,0.0,50.0,1.0
0,59.0,0.0,0.0,50.0,1.0
0,60.0,0.0,0.0,50.0,1.0
0,61.0,0.0,0.0,50.0,1.0
0,62.0,0.0,0.0,50.0,1.0
0,63.0,0.0,0.0,50.0,1.0
0,64.0,0.0,0.0,50.0,1.0
0,65.0,0.0,0.0,50.0,1.0
0,66.0,0.0,0.0,50.0,1.0
0,67.0,0.0,0.0,50.0,1.0
0,68.0,0.0,0.0,50.0,1.0
0,69.0,0.0,0.0,50.0,1.0
0,70.0,0.0,0.0,50.0,1.0
0,71.0,0.0,0.0,50.0,1.0
0,72.0,0.0,0.0,50.0,1.0
0,73.0,0.0,0.0,50.0,1.0
0,74.0,0.0,0.0,50.0,1.0
0,75.0,0.0,0.0,50.0,1.0
0,76.0,0.0,0.0,50.0,1.0
0,77.0,0.0,0.0,50.0,1.0
0,78.0,0.0,0.0,50.0,1.0
0,79.0,0.0,0.0,50.0,1.0
0,80.0,0.0,0.0,50.0,1.0
0,81.0,0.0,0.0,50.0,1.0
0,82.0,33.7989453125,0.026959809727754653,32.841772124277675,0.9910948287880765
0,83.0,136.4758627507716,0.053754884769562715,26.780245124294602,0.9672041624962936
0,84.0,309.70497540509257,0.08052422544192939,23.221321785217132,0.9379821700315232
0,85.0,367.44084538966047,0.08698706687652341,22.478929292537046,0.9377388961020392
0,86.0,423.52488763503084,0.09309401262825567,21.862014249615555,0.9372526941711714
0,87.0,423.4267515432099,0.0930786800511853,21.863020681656597,0.9374278854925893
0,88.0,423.4527242476852,0.09308309222679344,21.86275429659096,0.9374087298890478
0,89.0,423.4782696759259,0.09308480992384152,21.862492309756007,0.9374335712209804
0,90.0,423.4531216242284,0.0930874447142859,21.86275022108621,0.9373790269962284
0,91.0,423.4893142361111,0.09308185049629504,21.862379044699942,0.9374397327419908
0,92.0,423.47435812114196,0.09308033952731894,21.862532424553514,0.9374592219327971
0,93.0,423.4652864583333,0.09307822098621894,21.862625460063775,0.9374732809539924
0,94.0,423.4296903935185,0.09308195665821062,21.862990538968674,0.9374613274451625
0,95.0,419.62836082175926,0.09264388076384501,21.90215528314553,0.9380091838710423
0,96.0,419.65691550925925,0.09265045188638422,21.901859766386966,0.9381425269903818
0,97.0,424.3019463734568,0.0931681750601091,21.854053368851428,0.9377108600217533
0,98.0,421.26987413194445,0.09284310446105465,21.88519957914957,0.9376895177995779
0,99.0,425.3148929398148,0.09329068634264102,21.843697705161293,0.9376268637991659
0,100.0,421.4555671296296,0.09284855327229297,21.883285659346527,0.9380116498364883
0,101.0,424.40654610339504,0.09319666195739314,21.85298286970706,0.9377553600321678
